countyCode,districtCode,schoolCode,recordType,charter,testYear,countyName,districtName,schoolName,zipcode
00,00000,0000000,04,0000,2011-2012,State of California,,,
01,00000,0000000,03,0000,2011-2012,Alameda,,,
01,10017,0000000,02,0000,2011-2012,Alameda,Alameda County Office of Education,,94544
01,10017,0130401,01,0000,2011-2012,Alameda,Alameda County Office of Education,Juvenile Hall/Court,94578
01,10017,0130419,01,0000,2011-2012,Alameda,Alameda County Office of Education,County Community,94544
01,10017,0130427,01,0000,2011-2012,Alameda,Alameda County Office of Education,Alameda Co. Opportunity,94544
01,10017,0000000,02,0728,2011-2012,Alameda,FAME Public Charter,,94560
01,10017,0109835,09,0728,2011-2012,Alameda,FAME Public Charter,FAME Public Charter,94560
01,10017,0000000,02,0740,2011-2012,Alameda,Cox Academy,,94603
01,10017,6001788,09,0740,2011-2012,Alameda,Cox Academy,Cox Academy,94603
01,10017,0000000,02,0811,2011-2012,Alameda,Envision Academy for Arts,,94612
01,10017,0112607,09,0811,2011-2012,Alameda,Envision Academy for Arts,Envision Academy for Arts,94612
01,10017,0000000,02,1049,2011-2012,Alameda,Aspire California College Preparatory Academy,,94703
01,10017,0118489,09,1049,2011-2012,Alameda,Aspire California College Preparatory Academy,Aspire California College Preparatory Academy,94703
01,10017,0000000,02,1284,2011-2012,Alameda,Community School for Creative Education,,94501
01,10017,0123968,09,1284,2011-2012,Alameda,Community School for Creative Education,Community School for Creative Education,94501
01,10017,0000000,02,1296,2011-2012,Alameda,Yu Ming Charter,,94544
01,10017,0124172,09,1296,2011-2012,Alameda,Yu Ming Charter,Yu Ming Charter,94544
01,31609,0000000,02,0000,2011-2012,Alameda,California School for the Blind (State Special Sch,,94536
01,31609,0131755,01,0000,2011-2012,Alameda,California School for the Blind (State Special Sch,Calif School for the Blind,94536
01,61119,0000000,02,0000,2011-2012,Alameda,Alameda City Unified,,94501
01,61119,0106401,01,0000,2011-2012,Alameda,Alameda City Unified,Alameda Science and Technology,94501
01,61119,0111765,01,0000,2011-2012,Alameda,Alameda City Unified,Ruby Bridges Elementary,94501
01,61119,0130229,01,0000,2011-2012,Alameda,Alameda City Unified,Alameda High,94501
01,61119,0132878,01,0000,2011-2012,Alameda,Alameda City Unified,Encinal High,94501
01,61119,0134304,01,0000,2011-2012,Alameda,Alameda City Unified,Island High  (Continuation),94501
01,61119,6090005,01,0000,2011-2012,Alameda,Alameda City Unified,Lum (Donald D.) Elementary,94501
01,61119,6090013,01,0000,2011-2012,Alameda,Alameda City Unified,Edison Elementary,94501
01,61119,6090021,01,0000,2011-2012,Alameda,Alameda City Unified,Otis (Frank) Elementary,94501
01,61119,6090039,01,0000,2011-2012,Alameda,Alameda City Unified,Franklin Elementary,94501
01,61119,6090047,01,0000,2011-2012,Alameda,Alameda City Unified,Haight Elementary,94501
01,61119,6090054,01,0000,2011-2012,Alameda,Alameda City Unified,Lincoln Middle,94501
01,61119,6090104,01,0000,2011-2012,Alameda,Alameda City Unified,Washington Elementary,94501
01,61119,6090112,01,0000,2011-2012,Alameda,Alameda City Unified,Wood (Will C.) Middle,94501
01,61119,6090120,01,0000,2011-2012,Alameda,Alameda City Unified,William G. Paden Elementary,94501
01,61119,6100374,01,0000,2011-2012,Alameda,Alameda City Unified,Amelia Earhart Elementary,94502
01,61119,6110779,01,0000,2011-2012,Alameda,Alameda City Unified,Bay Farm Elementary,94502
01,61119,0000000,02,0352,2011-2012,Alameda,Alameda Community Learning Center,,94501
01,61119,0130609,09,0352,2011-2012,Alameda,Alameda Community Learning Center,Alameda Community Learning Center,94501
01,61119,0000000,02,0398,2011-2012,Alameda,Bay Area School of Enterprise,,94501
01,61119,0130625,09,0398,2011-2012,Alameda,Bay Area School of Enterprise,Bay Area School of Enterprise,94501
01,61119,0000000,02,1066,2011-2012,Alameda,Nea Community Learning Center,,94501
01,61119,0119222,09,1066,2011-2012,Alameda,Nea Community Learning Center,Nea Community Learning Center,94501
01,61119,0122085,10,1181,2011-2012,Alameda,Alameda City Unified,Academy of Alameda,94501
01,61127,0000000,02,0000,2011-2012,Alameda,Albany City Unified,,94706
01,61127,0130450,01,0000,2011-2012,Alameda,Albany City Unified,Albany High,94706
01,61127,6090146,01,0000,2011-2012,Alameda,Albany City Unified,Cornell Elementary,94706
01,61127,6090161,01,0000,2011-2012,Alameda,Albany City Unified,Albany Middle,94706
01,61127,6095376,01,0000,2011-2012,Alameda,Albany City Unified,Marin Elementary,94706
01,61127,6116222,01,0000,2011-2012,Alameda,Albany City Unified,Ocean View Elementary,94706
01,61143,0000000,02,0000,2011-2012,Alameda,Berkeley Unified,,94704
01,61143,0131177,01,0000,2011-2012,Alameda,Berkeley Unified,Berkeley High,94704
01,61143,0134924,01,0000,2011-2012,Alameda,Berkeley Unified,Berkeley Technology,94704
01,61143,6056857,01,0000,2011-2012,Alameda,Berkeley Unified,King Middle,94703
01,61143,6056865,01,0000,2011-2012,Alameda,Berkeley Unified,Willard Middle,94705
01,61143,6090187,01,0000,2011-2012,Alameda,Berkeley Unified,Parks Magnet,94710
01,61143,6090195,01,0000,2011-2012,Alameda,Berkeley Unified,Cragmont Elementary,94708
01,61143,6090211,01,0000,2011-2012,Alameda,Berkeley Unified,Emerson Elementary,94705
01,61143,6090252,01,0000,2011-2012,Alameda,Berkeley Unified,Jefferson Elementary,94702
01,61143,6090278,01,0000,2011-2012,Alameda,Berkeley Unified,Leconte Elementary,94705
01,61143,6090286,01,0000,2011-2012,Alameda,Berkeley Unified,Malcolm X Elementary,94703
01,61143,6090294,01,0000,2011-2012,Alameda,Berkeley Unified,Longfellow Arts & Technology,94703
01,61143,6090302,01,0000,2011-2012,Alameda,Berkeley Unified,Oxford Elementary,94707
01,61143,6090310,01,0000,2011-2012,Alameda,Berkeley Unified,Thousand Oaks Elementary,94707
01,61143,6090328,01,0000,2011-2012,Alameda,Berkeley Unified,Washington Elementary,94704
01,61143,6097729,01,0000,2011-2012,Alameda,Berkeley Unified,Whittier/Arts,94709
01,61143,6105316,01,0000,2011-2012,Alameda,Berkeley Unified,Muir (John) Elementary,94705
01,61150,0000000,02,0000,2011-2012,Alameda,Castro Valley Unified,,94546
01,61150,0132225,01,0000,2011-2012,Alameda,Castro Valley Unified,Castro Valley High,94546
01,61150,6090351,01,0000,2011-2012,Alameda,Castro Valley Unified,Castro Valley Elementary,94546
01,61150,6090369,01,0000,2011-2012,Alameda,Castro Valley Unified,Chabot Elementary,94546
01,61150,6090385,01,0000,2011-2012,Alameda,Castro Valley Unified,Creekside Middle,94546
01,61150,6090393,01,0000,2011-2012,Alameda,Castro Valley Unified,Independent Elementary,94552
01,61150,6090401,01,0000,2011-2012,Alameda,Castro Valley Unified,Marshall Elementary,94546
01,61150,6090419,01,0000,2011-2012,Alameda,Castro Valley Unified,Palomares Elementary,94552
01,61150,6090435,01,0000,2011-2012,Alameda,Castro Valley Unified,Proctor Elementary,94546
01,61150,6090468,01,0000,2011-2012,Alameda,Castro Valley Unified,Stanton Elementary,94546
01,61150,6090484,01,0000,2011-2012,Alameda,Castro Valley Unified,Vannoy Elementary,94546
01,61150,6097653,01,0000,2011-2012,Alameda,Castro Valley Unified,Canyon Middle,94552
01,61150,6113005,01,0000,2011-2012,Alameda,Castro Valley Unified,Jensen Ranch,94552
01,61168,0000000,02,0000,2011-2012,Alameda,Emery Unified,,94608
01,61168,0132746,01,0000,2011-2012,Alameda,Emery Unified,Emery Secondary,94608
01,61168,6090492,01,0000,2011-2012,Alameda,Emery Unified,Anna Yates Elementary,94608
01,61176,0000000,02,0000,2011-2012,Alameda,Fremont Unified,,94537
01,61176,0130062,01,0000,2011-2012,Alameda,Fremont Unified,American High,94536
01,61176,0130138,01,0000,2011-2012,Alameda,Fremont Unified,Robertson High (Continuation),94538
01,61176,0130435,01,0000,2011-2012,Alameda,Fremont Unified,Vista Alternative,94538
01,61176,0134270,01,0000,2011-2012,Alameda,Fremont Unified,Irvington High,94538
01,61176,0134452,01,0000,2011-2012,Alameda,Fremont Unified,Kennedy (John F.) High,94538
01,61176,0135244,01,0000,2011-2012,Alameda,Fremont Unified,Mission San Jose High,94539
01,61176,0138693,01,0000,2011-2012,Alameda,Fremont Unified,Washington High,94536
01,61176,6000541,01,0000,2011-2012,Alameda,Fremont Unified,Blacow (John) Elementary,94538
01,61176,6000558,01,0000,2011-2012,Alameda,Fremont Unified,Brier Elementary,94538
01,61176,6000566,01,0000,2011-2012,Alameda,Fremont Unified,Cabrillo Elementary,94536
01,61176,6000590,01,0000,2011-2012,Alameda,Fremont Unified,Grimmer (E. M.) Elementary,94538
